reporting_period,registrant_cik,registrant_name,series_name,series_id,series_category_name,class_name,class_id,investment_advisor,class_ticker_symbol,Subadvisor_name
31-Oct-17,885409,"DREYFUS BASIC MONEY MARKET FUND, INC","DREYFUS BASIC MONEY MARKET FUND, INC",S000000010,Prime,"DREYFUS BASIC MONEY MARKET FUND, INC",C000000014,The Dreyfus Corporation,DBAXX,
31-Oct-17,759667,DREYFUS CASH MANAGEMENT,DREYFUS CASH MANAGEMENT,S000000018,Prime,Institutional Shares,C000000025,The Dreyfus Corporation,DICXX,
31-Oct-17,759667,DREYFUS CASH MANAGEMENT,DREYFUS CASH MANAGEMENT,S000000018,Prime,Investor Shares,C000000026,The Dreyfus Corporation,DVCXX,
31-Oct-17,759667,DREYFUS CASH MANAGEMENT,DREYFUS CASH MANAGEMENT,S000000018,Prime,administrative shares,C000000027,The Dreyfus Corporation,DACXX,
31-Oct-17,742212,NORTHWESTERN MUTUAL SERIES FUND INC,Government Money Market Portfolio,S000000048,Exempt Government,Government Money Market Portfolio,C000000083,"Mason Street Advisors, LLC",,"BlackRock Advisors, LLC"
31-Oct-17,30158,"DREYFUS LIQUID ASSETS, INC","DREYFUS LIQUID ASSETS, INC",S000000074,Prime,DREYFUS LIQUID ASSETS - Class 1,C000000111,Dreyfus Corporation,DLAXX,
31-Oct-17,30158,"DREYFUS LIQUID ASSETS, INC","DREYFUS LIQUID ASSETS, INC",S000000074,Prime,Class 2,C000038429,Dreyfus Corporation,DLBXX,
31-Oct-17,30158,"DREYFUS LIQUID ASSETS, INC","DREYFUS LIQUID ASSETS, INC",S000000074,Prime,Class Z,C000158261,Dreyfus Corporation,DLZXX,
31-Oct-17,831363,"GENERAL NEW JERSEY MUNICIPAL MONEY MARKET FUND, INC","GENERAL NEW JERSEY MUNICIPAL MONEY MARKET FUND, INC",S000000081,Single State,"GENERAL NEW JERSEY MUNICIPAL MONEY MARKET FUND, INC. - CLASS A",C000000118,Dreyfus Corporation,DNJXX,
31-Oct-17,740123,DREYFUS TAX EXEMPT CASH MANAGEMENT FUNDS,DREYFUS AMT-FREE TAX EXEMPT CASH MANAGEMENT FUND,S000000098,Other Tax Exempt,DREYFUS AMT-Free TAX EXEMPT CASH MANAGEMENT - Institutional Shares,C000000161,Dreyfus Corporation,DEIXX,
31-Oct-17,740123,DREYFUS TAX EXEMPT CASH MANAGEMENT FUNDS,DREYFUS AMT-FREE TAX EXEMPT CASH MANAGEMENT FUND,S000000098,Other Tax Exempt,DREYFUS AMT-FREE TAX EXEMPT CASH MANAGEMENT - Investor Shares,C000000162,Dreyfus Corporation,DEVXX,
31-Oct-17,796251,DREYFUS TREASURY & AGENCY CASH MANAGEMENT,DREYFUS TREASURY & AGENCY CASH MANAGEMENT,S000000112,Exempt Government,Institutional Shares,C000000251,The Dreyfus Corporation,DTRXX,
31-Oct-17,796251,DREYFUS TREASURY & AGENCY CASH MANAGEMENT,DREYFUS TREASURY & AGENCY CASH MANAGEMENT,S000000112,Exempt Government,Investor Shares,C000000252,The Dreyfus Corporation,DTVXX,
31-Oct-17,796251,DREYFUS TREASURY & AGENCY CASH MANAGEMENT,DREYFUS TREASURY & AGENCY CASH MANAGEMENT,S000000112,Exempt Government,Administrative Shares,C000000253,The Dreyfus Corporation,DTAXX,
31-Oct-17,796251,DREYFUS TREASURY & AGENCY CASH MANAGEMENT,DREYFUS TREASURY & AGENCY CASH MANAGEMENT,S000000112,Exempt Government,Participant Shares,C000000254,The Dreyfus Corporation,DTPXX,
31-Oct-17,843781,DREYFUS TREASURY SECURITIES CASH MANAGEMENT,DREYFUS TREASURY SECURITIES CASH MANAGEMENT,S000000113,Treasury,Institutional Shares,C000000255,Dreyfus Corporation,DIRXX,
31-Oct-17,843781,DREYFUS TREASURY SECURITIES CASH MANAGEMENT,DREYFUS TREASURY SECURITIES CASH MANAGEMENT,S000000113,Treasury,Investor Shares,C000000256,Dreyfus Corporation,DVRXX,
31-Oct-17,843781,DREYFUS TREASURY SECURITIES CASH MANAGEMENT,DREYFUS TREASURY SECURITIES CASH MANAGEMENT,S000000113,Treasury,Administrative Shares,C000000257,Dreyfus Corporation,DARXX,
31-Oct-17,843781,DREYFUS TREASURY SECURITIES CASH MANAGEMENT,DREYFUS TREASURY SECURITIES CASH MANAGEMENT,S000000113,Treasury,Participant Shares,C000000258,Dreyfus Corporation,DPRXX,
31-Oct-17,803951,GENERAL CALIFORNIA MUNICIPAL MONEY MARKET FUND,GENERAL CALIFORNIA MUNICIPAL MONEY MARKET FUND,S000000118,Single State,Class A,C000000263,Dreyfus Corporation,GCAXX,
31-Oct-17,803951,GENERAL CALIFORNIA MUNICIPAL MONEY MARKET FUND,GENERAL CALIFORNIA MUNICIPAL MONEY MARKET FUND,S000000118,Single State,Class B,C000000264,Dreyfus Corporation,GENXX,
31-Oct-17,353560,GENERAL MONEY MARKET FUND INC,GENERAL MONEY MARKET FUND INC,S000000119,Prime,Class A,C000000265,The Dreyfus Corporation,GMMXX,
31-Oct-17,353560,GENERAL MONEY MARKET FUND INC,GENERAL MONEY MARKET FUND INC,S000000119,Prime,Class B,C000000266,The Dreyfus Corporation,GMBXX,
31-Oct-17,353560,GENERAL MONEY MARKET FUND INC,GENERAL MONEY MARKET FUND INC,S000000119,Prime,Dreyfus Class,C000157127,The Dreyfus Corporation,GMGXX,
31-Oct-17,703153,GENERAL MUNICIPAL MONEY MARKET FUNDS INC,"General Municipal Money Market Funds, Inc.",S000000121,Other Tax Exempt,General Municipal Money Market Fund - Class A,C000000269,Dreyfus Corporation,GTMXX,
31-Oct-17,703153,GENERAL MUNICIPAL MONEY MARKET FUNDS INC,"General Municipal Money Market Funds, Inc.",S000000121,Other Tax Exempt,General Municipal Money Market Fund - Class B,C000000270,Dreyfus Corporation,GBMXX,
31-Oct-17,803950,GENERAL NEW YORK AMT-FREE MUNICIPAL MONEY MARKET FUND,GENERAL NEW YORK AMT-FREE MUNICIPAL MONEY MARKET FUND,S000000123,Single State,Class A,C000000273,Dreyfus Corporation,GNMXX,
31-Oct-17,803950,GENERAL NEW YORK AMT-FREE MUNICIPAL MONEY MARKET FUND,GENERAL NEW YORK AMT-FREE MUNICIPAL MONEY MARKET FUND,S000000123,Single State,Class B,C000000274,Dreyfus Corporation,GNYXX,
31-Oct-17,740766,DREYFUS GOVERNMENT CASH MANAGEMENT Funds,Dreyfus Government Cash Management,S000000128,Exempt Government,dreyfus government cash management - Investor Shares,C000000286,The Dreyfus Corporation,DGVXX,
31-Oct-17,740766,DREYFUS GOVERNMENT CASH MANAGEMENT Funds,Dreyfus Government Cash Management,S000000128,Exempt Government,dreyfus government cash mangement - Institutional Shares,C000000287,The Dreyfus Corporation,DGCXX,
31-Oct-17,740766,DREYFUS GOVERNMENT CASH MANAGEMENT Funds,Dreyfus Government Cash Management,S000000128,Exempt Government,dreyfus government cash management - Administrative Shares,C000000288,The Dreyfus Corporation,DAGXX,
31-Oct-17,740766,DREYFUS GOVERNMENT CASH MANAGEMENT Funds,Dreyfus Government Cash Management,S000000128,Exempt Government,Dreyfus Government Cash Management - Participant Shares,C000000289,The Dreyfus Corporation,DPGXX,
31-Oct-17,740766,DREYFUS GOVERNMENT CASH MANAGEMENT Funds,Dreyfus Government Securities Cash Management,S000000129,Exempt Government,Dreyfus Government Securities Cash Management - Investor Shares,C000000290,Dreyfus Corporation,DVPXX,
31-Oct-17,740766,DREYFUS GOVERNMENT CASH MANAGEMENT Funds,Dreyfus Government Securities Cash Management,S000000129,Exempt Government,Dreyfus Government Securities Cash Management - Institutional Shares,C000000291,Dreyfus Corporation,DIPXX,
31-Oct-17,740766,DREYFUS GOVERNMENT CASH MANAGEMENT Funds,Dreyfus Government Securities Cash Management,S000000129,Exempt Government,Dreyfus Government Securities Cash Management - Administrative Shares,C000000292,Dreyfus Corporation,DAPXX,
31-Oct-17,740766,DREYFUS GOVERNMENT CASH MANAGEMENT Funds,Dreyfus Government Securities Cash Management,S000000129,Exempt Government,Dreyfus Government Securities Cash Management - Participant Shares,C000000293,Dreyfus Corporation,DGPXX,
31-Oct-17,909466,AIM TAX EXEMPT FUNDS (INVESCO TAX-EXEMPT FUNDS),INVESCO Tax-Exempt Cash Fund,S000000171,Other Tax Exempt,Class A,C000000393,"Invesco Advisers, Inc.",ACSXX,
31-Oct-17,909466,AIM TAX EXEMPT FUNDS (INVESCO TAX-EXEMPT FUNDS),INVESCO Tax-Exempt Cash Fund,S000000171,Other Tax Exempt,Investor Class,C000000394,"Invesco Advisers, Inc.",TEIXX,
31-Oct-17,909466,AIM TAX EXEMPT FUNDS (INVESCO TAX-EXEMPT FUNDS),INVESCO Tax-Exempt Cash Fund,S000000171,Other Tax Exempt,Class Y,C000071233,"Invesco Advisers, Inc.",,
31-Oct-17,909466,AIM TAX EXEMPT FUNDS (INVESCO TAX-EXEMPT FUNDS),INVESCO Tax-Exempt Cash Fund,S000000171,Other Tax Exempt,Class R6,C000188915,"Invesco Advisers, Inc.",,
