Symbol,Date,Open,High,Low,Close,Volume
MSFT,20-Nov-17,82.4,82.59,82.25,82.53,16314978
MSFT,17-Nov-17,83.12,83.12,82.24,82.4,22078993
MSFT,16-Nov-17,83.1,83.42,82.94,83.2,20962750
MSFT,15-Nov-17,83.47,83.69,82.69,82.98,19383102
MSFT,14-Nov-17,83.5,84.1,82.98,84.05,18801280
MSFT,13-Nov-17,83.66,83.94,83.46,83.93,14196896
MSFT,10-Nov-17,83.79,84.1,83.23,83.87,19397793
MSFT,9-Nov-17,84.11,84.27,82.9,84.09,21178356
MSFT,8-Nov-17,84.14,84.61,83.83,84.56,18034170
MSFT,7-Nov-17,84.77,84.9,83.93,84.27,17939727
MSFT,6-Nov-17,84.2,84.7,84.08,84.47,19860852
MSFT,3-Nov-17,84.08,84.54,83.4,84.14,17633543
MSFT,2-Nov-17,83.35,84.46,83.12,84.05,23992945
MSFT,1-Nov-17,83.68,83.76,82.88,83.18,22307371
MSFT,31-Oct-17,84.36,84.36,83.11,83.18,27086575
MSFT,30-Oct-17,83.7,84.32,83.1,83.89,31756653
MSFT,27-Oct-17,84.37,86.2,83.61,83.81,71066729
MSFT,26-Oct-17,79.2,79.42,78.75,78.76,32120717
MSFT,25-Oct-17,78.58,79.1,78.01,78.63,20410808
MSFT,24-Oct-17,78.9,79.2,78.46,78.86,17517182
MSFT,23-Oct-17,78.99,79.34,78.76,78.83,20627173
MSFT,20-Oct-17,78.32,78.97,78.22,78.81,22866426
MSFT,19-Oct-17,77.57,77.93,77.35,77.91,15092758
MSFT,18-Oct-17,77.67,77.85,77.37,77.61,13300701
MSFT,17-Oct-17,77.47,77.62,77.25,77.59,16823989
MSFT,16-Oct-17,77.42,77.81,77.35,77.65,12380093
MSFT,13-Oct-17,77.59,77.87,77.29,77.49,15335742
MSFT,12-Oct-17,76.49,77.29,76.37,77.12,16876538
MSFT,11-Oct-17,76.36,76.46,75.95,76.42,15388898
MSFT,10-Oct-17,76.33,76.63,76.14,76.29,13944545
MSFT,9-Oct-17,75.97,76.55,75.86,76.29,11386502
MSFT,6-Oct-17,75.67,76.03,75.54,76,13959814
MSFT,5-Oct-17,75.22,76.12,74.96,75.97,21195261
MSFT,4-Oct-17,74.09,74.72,73.71,74.69,13317681
MSFT,3-Oct-17,74.67,74.88,74.2,74.26,12190403
MSFT,2-Oct-17,74.71,75.01,74.3,74.61,15304762
MSFT,29-Sep-17,73.94,74.54,73.88,74.49,17079114
MSFT,28-Sep-17,73.54,73.97,73.31,73.87,10883787
MSFT,27-Sep-17,73.55,74.17,73.17,73.85,19375099
MSFT,26-Sep-17,73.67,73.81,72.99,73.26,18019577
MSFT,25-Sep-17,74.09,74.25,72.92,73.26,24149163
MSFT,22-Sep-17,73.99,74.51,73.85,74.41,14111365
MSFT,21-Sep-17,75.11,75.24,74.11,74.21,19186140
MSFT,20-Sep-17,75.35,75.55,74.31,74.94,21587878
MSFT,19-Sep-17,75.21,75.71,75.01,75.44,16093344
MSFT,18-Sep-17,75.23,75.97,75.04,75.16,23306959
MSFT,15-Sep-17,74.83,75.39,74.07,75.31,38578441
MSFT,14-Sep-17,75,75.49,74.52,74.77,15733914
MSFT,13-Sep-17,74.93,75.23,74.55,75.21,13380802
MSFT,12-Sep-17,74.76,75.24,74.37,74.68,14394850
MSFT,11-Sep-17,74.31,74.94,74.31,74.76,17910383
MSFT,8-Sep-17,74.33,74.44,73.84,73.98,14703816
MSFT,7-Sep-17,73.68,74.6,73.6,74.34,17471200
MSFT,6-Sep-17,73.74,74.04,73.35,73.4,16535785
MSFT,5-Sep-17,73.34,73.89,72.98,73.61,22242384
MSFT,1-Sep-17,74.71,74.74,73.64,73.94,21736161
MSFT,31-Aug-17,74.03,74.96,73.8,74.77,27652811
MSFT,30-Aug-17,73.01,74.21,72.83,74.01,16897801
MSFT,29-Aug-17,72.25,73.16,72.05,73.05,11478382
MSFT,28-Aug-17,73.06,73.09,72.55,72.83,14569715
MSFT,25-Aug-17,72.86,73.35,72.48,72.82,12794301
MSFT,24-Aug-17,72.74,72.86,72.07,72.69,17098282
MSFT,23-Aug-17,72.96,73.15,72.53,72.72,13766507
MSFT,22-Aug-17,72.35,73.24,72.35,73.16,14343674
MSFT,21-Aug-17,72.47,72.48,71.7,72.15,17734767
MSFT,18-Aug-17,72.27,72.84,71.93,72.49,18761491
MSFT,17-Aug-17,73.58,73.87,72.4,72.4,22977519
MSFT,16-Aug-17,73.34,74.1,73.17,73.65,18150402
MSFT,15-Aug-17,73.59,73.59,73.04,73.22,19181402
MSFT,14-Aug-17,73.06,73.72,72.95,73.59,20096592
MSFT,11-Aug-17,71.61,72.7,71.28,72.5,21443675
MSFT,10-Aug-17,71.9,72.19,71.35,71.41,24734461
MSFT,9-Aug-17,72.25,72.51,72.05,72.47,22213410
MSFT,8-Aug-17,72.09,73.13,71.75,72.79,22044587
MSFT,7-Aug-17,72.8,72.9,72.26,72.4,18705681
